N,iGSL,iTRAP,iTRAPjl
8,1.905238690482676,1.880883351333564,1.880883351333564
16,1.905238690482676,1.899930046504763,1.8999300465047635
32,1.905238690482676,1.903995543286224,1.9039955432862237
64,1.905238690482676,1.904937678820547,1.904937678820548
128,1.905238690482676,1.905164617227777,1.9051646172277799
256,1.905238690482676,1.905220317079642,1.9052203170796376
512,1.905238690482676,1.905234115089364,1.9052341150893637
1024,1.905238690482676,1.905237548869368,1.9052375488693403
2048,1.905238690482676,1.905238405358104,1.9052384053581128
4096,1.905238690482676,1.90523861923629,1.9052386192363466
8192,1.905238690482676,1.905238672675464,1.9052386726754427
16384,1.905238690482676,1.905238686031035,1.905238686031415
32768,1.905238690482676,1.905238689370089,1.9052386893699362
65536,1.905238690482676,1.905238690203353,1.9052386902044776
131072,1.905238690482676,1.905238690415154,1.9052386904131127
262144,1.905238690482676,1.905238690471016,1.9052386904652931
524288,1.905238690482676,1.905238690497589,1.9052386904783492
1048576,1.905238690482676,1.905238690529012,1.9052386904816079
2097152,1.905238690482676,1.905238690440417,1.9052386904823315
4194304,1.905238690482676,1.905238690609681,1.905238690482693
8388608,1.905238690482676,1.905238690594565,1.9052386904826757
16777216,1.905238690482676,1.905238690730714,1.9052386904826115
